"","Transcript.ID","gene_assignment","Gene.Symbol","RefSeq","p.value.Diagnosis.","p.value.Control.vs..Schizophrenia.","Ratio.Control.vs..Schizophrenia.","Fold.Change.Control.vs..Schizophrenia.","Fold.Change.Control.vs..Schizophrenia...Description.","F.Diagnosis.","SS.Diagnosis.","SS.Error.","F.Error.","FoldChange","p.value"
"2867",8139203,"NM_138701 // C7orf11 // chromosome 7 open reading frame 11 // 7p14.1 // 136647 /","C7orf11","NM_138701",0.00421326,0.00421326,0.890651,-1.12277,"Control down vs Schizophrenia",10.1872,0.167471,0.361666,1,-1.12277,0.00421326
"2870",8144082,"NR_026865 // C7orf13 // chromosome 7 open reading frame 13 // 7q36 // 129790 ///","C7orf13","NR_026865",0.0473898,0.0473898,1.14404,1.14404,"Control up vs Schizophrenia",4.41121,0.226128,1.12777,1,1.14404,0.0473898
"2871",8132182,"NM_006658 // C7orf16 // chromosome 7 open reading frame 16 // 7p15 // 10842 /// ","C7orf16","NM_006658",2.94e-09,2.94e-09,2.7714,2.7714,"Control up vs Schizophrenia",90.6005,12.9763,3.15096,1,2.7714,2.94e-09
"2872",8140730,"NM_024315 // C7orf23 // chromosome 7 open reading frame 23 // 7q21.1-q21.2 // 79","C7orf23","NM_024315",0.00475923,0.00475923,0.860652,-1.16191,"Control down vs Schizophrenia",9.85888,0.281229,0.627561,1,-1.16191,0.00475923
"2878",8137219,"NM_138434 // C7orf29 // chromosome 7 open reading frame 29 // 7q36.1 // 113763 /","C7orf29","NM_138434",0.0270854,0.0270854,1.14479,1.14479,"Control up vs Schizophrenia",5.60805,0.228358,0.895835,1,1.14479,0.0270854
"2883",8132055,"NM_152793 // C7orf41 // chromosome 7 open reading frame 41 // 7p14.3 // 222166 /","C7orf41","NM_152793",0.000463084,0.000463084,1.19391,1.19391,"Control up vs Schizophrenia",16.8784,0.392262,0.511292,1,1.19391,0.000463084
"2901",8141522,"BC031966 // C7orf61 // chromosome 7 open reading frame 61 // 7q22.1 // 402573 //","C7orf61","BC031966",0.00669957,0.00669957,1.15144,1.15144,"Control up vs Schizophrenia",8.95916,0.248335,0.60981,1,1.15144,0.00669957
"2920",8148580,"BC073830 // C8orf31 // chromosome 8 open reading frame 31 // 8q24.3 // 286122 //","C8orf31","BC073830",0.000285748,0.000285748,1.42678,1.42678,"Control up vs Schizophrenia",18.5414,1.57757,1.87184,1,1.42678,0.000285748
"2929",8146711,"NM_019607 // C8orf44 // chromosome 8 open reading frame 44 // 8q13.1 // 56260 //","C8orf44","NM_019607",0.0019362,0.0019362,1.25356,1.25356,"Control up vs Schizophrenia",12.3798,0.637767,1.13337,1,1.25356,0.0019362
"2931",8146703,"NM_152765 // C8orf46 // chromosome 8 open reading frame 46 // 8q13.1 // 254778 /","C8orf46","NM_152765",6.49e-05,6.49e-05,1.65229,1.65229,"Control up vs Schizophrenia",24.1482,3.14911,2.86897,1,1.65229,6.49e-05
"2938",8152252,"NR_027071 // C8orf56 // chromosome 8 open reading frame 56 // 8q22.3 // 157556 /","C8orf56","NR_027071",0.0134984,0.0134984,0.890224,-1.12331,"Control down vs Schizophrenia",7.2141,0.168859,0.514949,1,-1.12331,0.0134984
"2939",8145193,"NM_001013842 // C8orf58 // chromosome 8 open reading frame 58 // 8p21 // 541565 ","C8orf58","NM_001013842",0.0282537,0.0282537,0.870476,-1.1488,"Control down vs Schizophrenia",5.51478,0.240299,0.958618,1,-1.1488,0.0282537
"2946",8144712,"NM_001099677 // C8orf79 // chromosome 8 open reading frame 79 // 8p22 // 57604 /","C8orf79","NM_001099677",3.95e-07,3.95e-07,1.63429,1.63429,"Control up vs Schizophrenia",50.54,3.01323,1.31166,1,1.63429,3.95e-07
"2947",8144705,"NM_020844 // C8orf79 // chromosome 8 open reading frame 79 // 8p22 // 57604 /// ","C8orf79","NM_020844",1.38e-06,1.38e-06,1.42739,1.42739,"Control up vs Schizophrenia",42.8906,1.58133,0.811118,1,1.42739,1.38e-06
"2955",8156601,"AL133663 // C9orf102 // chromosome 9 open reading frame 102 // 9q22.32 // 375748","C9orf102","AL133663",0.0258908,0.0258908,0.920087,-1.08685,"Control down vs Schizophrenia",5.70819,0.0866281,0.333874,1,-1.08685,0.0258908
"2956",8156581,"NM_001010895 // C9orf102 // chromosome 9 open reading frame 102 // 9q22.32 // 37","C9orf102","NM_001010895",0.0396058,0.0396058,0.918895,-1.08826,"Control down vs Schizophrenia",4.78593,0.0893446,0.4107,1,-1.08826,0.0396058
"2960",8160511,"NM_020641 // C9orf11 // chromosome 9 open reading frame 11 // 9p21 // 54586 /// ","C9orf11","NM_020641",0.0201951,0.0201951,0.75235,-1.32917,"Control down vs Schizophrenia",6.26943,1.01118,3.54831,1,-1.32917,0.0201951
"2963",8158081,"BC141809 // C9orf117 // chromosome 9 open reading frame 117 // 9q34.11 // 286207","C9orf117","BC141809",0.0292807,0.0292807,0.884208,-1.13096,"Control down vs Schizophrenia",5.4363,0.189128,0.765377,1,-1.13096,0.0292807
"2967",8161154,"NM_001012446 // C9orf128 // chromosome 9 open reading frame 128 // 9p13.3 // 392","C9orf128","NM_001012446",0.00891578,0.00891578,0.836173,-1.19593,"Control down vs Schizophrenia",8.23146,0.399779,1.06848,1,-1.19593,0.00891578
"2971",8155747,"NM_001010940 // C9orf135 // chromosome 9 open reading frame 135 // 9q21.12 // 13","C9orf135","NM_001010940",0.00216703,0.00216703,1.28522,1.28522,"Control up vs Schizophrenia",12.0516,0.786322,1.43542,1,1.28522,0.00216703
"2983",8159667,"NM_017723 // C9orf167 // chromosome 9 open reading frame 167 // 9q34.3 // 54863 ","C9orf167","NM_017723",0.0224141,0.0224141,0.912089,-1.09638,"Control down vs Schizophrenia",6.03195,0.105741,0.385663,1,-1.09638,0.0224141
"2987",8158902,"BC118593 // C9orf171 // chromosome 9 open reading frame 171 // 9q34.13 // 389799","C9orf171","BC118593",0.0492326,0.0492326,1.09984,1.09984,"Control up vs Schizophrenia",4.33268,0.113105,0.574312,1,1.09984,0.0492326
"2993",8160805,"NM_147202 // C9orf25 // chromosome 9 open reading frame 25 // 9p13.3 // 203259 /","C9orf25","NM_147202",0.00619781,0.00619781,1.26612,1.26612,"Control up vs Schizophrenia",9.16119,0.695305,1.66973,1,1.26612,0.00619781
"2999",8165630,"NM_032937 // C9orf37 // chromosome 9 open reading frame 37 // 9q34.3 // 85026 //","C9orf37","NM_032937",0.0159712,0.0159712,1.09209,1.09209,"Control up vs Schizophrenia",6.81446,0.0969178,0.312892,1,1.09209,0.0159712
"3040",8147132,"NM_000067 // CA2 // carbonic anhydrase II // 8q22 // 760 /// ENST00000285379 // ","CA2","NM_000067",0.00147754,0.00147754,1.62386,1.62386,"Control up vs Schizophrenia",13.1827,2.93521,4.89841,1,1.62386,0.00147754
"3050",8048980,"NM_016289 // CAB39 // calcium binding protein 39 // 2q37.1 // 51719 /// NM_00113","CAB39","NM_016289",0.00976308,0.00976308,1.11652,1.11652,"Control up vs Schizophrenia",8.00487,0.151702,0.416927,1,1.11652,0.00976308
"3060",8072266,"NM_182527 // CABP7 // calcium binding protein 7 // 22q12.2 // 164633 /// NM_0191","CABP7","NM_182527",3.35e-06,3.35e-06,1.37945,1.37945,"Control up vs Schizophrenia",37.9617,1.29227,0.748911,1,1.37945,3.35e-06
"3061",8020653,"NM_012189 // CABYR // calcium binding tyrosine-(Y)-phosphorylation regulated // ","CABYR","NM_012189",0.0232479,0.0232479,1.26162,1.26162,"Control up vs Schizophrenia",5.94942,0.67447,2.49408,1,1.26162,0.0232479
"3062",7901993,"NM_020925 // CACHD1 // cache domain containing 1 // 1p31.3 // 57685 /// ENST0000","CACHD1","NM_020925",0.00970714,0.00970714,1.18066,1.18066,"Control up vs Schizophrenia",8.01914,0.344425,0.944908,1,1.18066,0.00970714
"3064",8159734,"NM_000718 // CACNA1B // calcium channel, voltage-dependent, N type, alpha 1B sub","CACNA1B","NM_000718",0.00278999,0.00278999,1.28277,1.28277,"Control up vs Schizophrenia",11.3284,0.774425,1.50395,1,1.28277,0.00278999
"3065",7953094,"NM_199460 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C sub","CACNA1C","NM_199460",0.000300216,0.000300216,1.4297,1.4297,"Control up vs Schizophrenia",18.3677,1.59575,1.91131,1,1.4297,0.000300216
"3066",7953040,"NM_199460 // CACNA1C // calcium channel, voltage-dependent, L type, alpha 1C sub","CACNA1C","NM_199460",0.0165684,0.0165684,1.26067,1.26067,"Control up vs Schizophrenia",6.72823,0.670081,2.19104,1,1.26067,0.0165684
"3076",8080578,"NM_018398 // CACNA2D3 // calcium channel, voltage-dependent, alpha 2/delta subun","CACNA2D3","NM_018398",3.47e-09,3.47e-09,1.56353,1.56353,"Control up vs Schizophrenia",88.9237,2.49465,0.617184,1,1.56353,3.47e-09
"3078",8014794,"NM_199247 // CACNB1 // calcium channel, voltage-dependent, beta 1 subunit // 17q","CACNB1","NM_199247",0.000139833,0.000139833,1.2508,1.2508,"Control up vs Schizophrenia",21.1469,0.625409,0.65064,1,1.2508,0.000139833
"3079",7926506,"NM_201596 // CACNB2 // calcium channel, voltage-dependent, beta 2 subunit // 10p","CACNB2","NM_201596",0.00203571,0.00203571,1.77239,1.77239,"Control up vs Schizophrenia",12.2333,4.09067,7.35652,1,1.77239,0.00203571
"3083",8075820,"NM_006078 // CACNG2 // calcium channel, voltage-dependent, gamma subunit 2 // 22","CACNG2","NM_006078",0.034879,0.034879,0.828344,-1.20723,"Control down vs Schizophrenia",5.05661,0.442917,1.92702,1,-1.20723,0.034879
"3085",8009334,"NM_014405 // CACNG4 // calcium channel, voltage-dependent, gamma subunit 4 // 17","CACNG4","NM_014405",0.000245384,0.000245384,1.62621,1.62621,"Control up vs Schizophrenia",19.082,2.95275,3.40429,1,1.62621,0.000245384
"3086",8009326,"NM_145811 // CACNG5 // calcium channel, voltage-dependent, gamma subunit 5 // 17","CACNG5","NM_145811",0.0026661,0.0026661,2.26609,2.26609,"Control up vs Schizophrenia",11.457,8.3573,16.0478,1,2.26609,0.0026661
"3087",8031090,"NM_145814 // CACNG6 // calcium channel, voltage-dependent, gamma subunit 6 // 19","CACNG6","NM_145814",0.0358467,0.0358467,0.887677,-1.12654,"Control down vs Schizophrenia",4.99795,0.177285,0.780375,1,-1.12654,0.0358467
"3088",8031076,"NM_031896 // CACNG7 // calcium channel, voltage-dependent, gamma subunit 7 // 19","CACNG7","NM_031896",0.00518978,0.00518978,1.19376,1.19376,"Control up vs Schizophrenia",9.628,0.391733,0.895111,1,1.19376,0.00518978
"3093",7951807,"NM_014333 // CADM1 // cell adhesion molecule 1 // 11q23.2 // 23705 /// NM_001098","CADM1","NM_014333",0.00147617,0.00147617,1.16307,1.16307,"Control up vs Schizophrenia",13.1855,0.284991,0.475506,1,1.16307,0.00147617
"3094",8081036,"NM_001167674 // CADM2 // cell adhesion molecule 2 // 3p12.1 // 253559 /// NM_001","CADM2","NM_001167674",0.00327784,0.00327784,1.5185,1.5185,"Control up vs Schizophrenia",10.8766,2.17907,4.40758,1,1.5185,0.00327784
"3095",7906417,"NM_021189 // CADM3 // cell adhesion molecule 3 // 1q21.2-q22 // 57863 /// NM_001","CADM3","NM_021189",0.0126479,0.0126479,1.33556,1.33556,"Control up vs Schizophrenia",7.37073,1.04557,3.12078,1,1.33556,0.0126479
"3096",8037363,"NM_145296 // CADM4 // cell adhesion molecule 4 // 19q13.31 // 199731 /// ENST000","CADM4","NM_145296",0.00118521,0.00118521,1.17894,1.17894,"Control up vs Schizophrenia",13.8534,0.338414,0.53742,1,1.17894,0.00118521
"3097",8088491,"NM_003716 // CADPS // Ca++-dependent secretion activator // 3p14.2 // 8618 /// N","CADPS","NM_003716",2.38e-05,2.38e-05,1.81281,1.81281,"Control up vs Schizophrenia",28.4113,4.41935,3.42208,1,1.81281,2.38e-05
"3101",7997139,"NM_001740 // CALB2 // calbindin 2 // 16q22.2 // 794 /// NR_027910 // CALB2 // ca","CALB2","NM_001740",0.00982749,0.00982749,1.45792,1.45792,"Control up vs Schizophrenia",7.98854,1.77503,4.88833,1,1.45792,0.00982749
"3103",7938646,"NM_000728 // CALCB // calcitonin-related polypeptide beta // 11p15.2-p15.1 // 79","CALCB","NM_000728",9.87e-07,9.87e-07,1.56574,1.56574,"Control up vs Schizophrenia",44.8511,2.51043,1.2314,1,1.56574,9.87e-07
"3105",8008113,"NM_005831 // CALCOCO2 // calcium binding and coiled-coil domain 2 // 17q21.32 //","CALCOCO2","NM_005831",0.000669913,0.000669913,1.34282,1.34282,"Control up vs Schizophrenia",15.6571,1.08511,1.52471,1,1.34282,0.000669913
"3113",8052010,"NM_001743 // CALM2 // calmodulin 2 (phosphorylase kinase, delta) // 2p21 // 805 ","CALM2","NM_001743",0.0162321,0.0162321,1.11547,1.11547,"Control up vs Schizophrenia",6.77636,0.149121,0.484134,1,1.11547,0.0162321
"3119",8139921,"NM_001017440 // CALN1 // calneuron 1 // 7q11 // 83698 /// NM_031468 // CALN1 // ","CALN1","NM_001017440",0.00867574,0.00867574,1.30688,1.30688,"Control up vs Schizophrenia",8.30001,0.894547,2.37108,1,1.30688,0.00867574
"3124",8085206,"NM_003656 // CAMK1 // calcium/calmodulin-dependent protein kinase I // 3p25.3 //","CAMK1","NM_003656",0.00081524,0.00081524,1.30197,1.30197,"Control up vs Schizophrenia",15.0252,0.869584,1.27325,1,1.30197,0.00081524
"3131",7913237,"NM_018584 // CAMK2N1 // calcium/calmodulin-dependent protein kinase II inhibitor","CAMK2N1","NM_018584",0.00164278,0.00164278,0.794512,-1.25863,"Control down vs Schizophrenia",12.8654,0.66078,1.12995,1,-1.25863,0.00164278
"3132",8092468,"NM_033259 // CAMK2N2 // calcium/calmodulin-dependent protein kinase II inhibitor","CAMK2N2","NM_033259",0.0207575,0.0207575,1.16087,1.16087,"Control up vs Schizophrenia",6.20658,0.277885,0.984999,1,1.16087,0.0207575
"3133",8107307,"NM_001744 // CAMK4 // calcium/calmodulin-dependent protein kinase IV // 5q21.3 /","CAMK4","NM_001744",0.0308507,0.0308507,1.1986,1.1986,"Control up vs Schizophrenia",5.32209,0.409815,1.69406,1,1.1986,0.0308507
"3134",8011480,"NM_032294 // CAMKK1 // calcium/calmodulin-dependent protein kinase kinase 1, alp","CAMKK1","NM_032294",0.000800421,0.000800421,1.17162,1.17162,"Control up vs Schizophrenia",15.0837,0.313303,0.45696,1,1.17162,0.000800421
"3141",7897339,"NM_015215 // CAMTA1 // calmodulin binding transcription activator 1 // 1p36.31-p","CAMTA1","NM_015215",0.0034927,0.0034927,1.24138,1.24138,"Control up vs Schizophrenia",10.7006,0.583861,1.2004,1,1.24138,0.0034927
"3155",7909967,"NM_001748 // CAPN2 // calpain 2, (m/II) large subunit // 1q41-q42 // 824 /// NM_","CAPN2","NM_001748",5.59e-06,5.59e-06,0.832367,-1.20139,"Control down vs Schizophrenia",35.3023,0.420423,0.262003,1,-1.20139,5.59e-06
"3158",8174527,"NM_014289 // CAPN6 // calpain 6 // Xq23 // 827 /// ENST00000324068 // CAPN6 // c","CAPN6","NM_014289",0.0135789,0.0135789,0.853117,-1.17217,"Control down vs Schizophrenia",7.19985,0.315155,0.962992,1,-1.17217,0.0135789
"3162",7995712,"NM_032330 // CAPNS2 // calpain, small subunit 2 // 16q12.2 // 84290 /// AY052551","CAPNS2","NM_032330",0.00945103,0.00945103,0.882144,-1.1336,"Control down vs Schizophrenia",8.08569,0.196378,0.534316,1,-1.1336,0.00945103
"3164",7962112,"NM_001002259 // CAPRIN2 // caprin family member 2 // 12p11 // 65981 /// NM_02392","CAPRIN2","NM_001002259",0.0322533,0.0322533,1.34625,1.34625,"Control up vs Schizophrenia",5.22544,1.10398,4.64794,1,1.34625,0.0322533
"3172",8075934,"NM_014550 // CARD10 // caspase recruitment domain family, member 10 // 22q13.1 /","CARD10","NM_014550",0.0462115,0.0462115,0.878036,-1.13891,"Control down vs Schizophrenia",4.46327,0.211272,1.04138,1,-1.13891,0.0462115
"3184",8025766,"NM_199141 // CARM1 // coactivator-associated arginine methyltransferase 1 // 19p","CARM1","NM_199141",0.00584152,0.00584152,0.879573,-1.13692,"Control down vs Schizophrenia",9.31594,0.205627,0.485598,1,-1.13692,0.00584152
"3192",8007028,"NM_007359 // CASC3 // cancer susceptibility candidate 3 // 17q11-q21.3 // 22794 ","CASC3","NM_007359",0.0210661,0.0210661,0.926187,-1.0797,"Control down vs Schizophrenia",6.17289,0.0734271,0.261692,1,-1.0797,0.0210661
"3195",8134318,"NM_022900 // CASD1 // CAS1 domain containing 1 // 7q21.3 // 64921 /// ENST000002","CASD1","NM_022900",0.0058157,0.0058157,0.824753,-1.21248,"Control down vs Schizophrenia",9.32756,0.463592,1.09343,1,-1.21248,0.0058157
"3197",7998724,"NM_020764 // CASKIN1 // CASK interacting protein 1 // 16p13.3 // 57524 /// NM_03","CASKIN1","NM_020764",0.0365886,0.0365886,1.09538,1.09538,"Control up vs Schizophrenia",4.95418,0.103653,0.460293,1,1.09538,0.0365886
"3209",8047419,"NM_001228 // CASP8 // caspase 8, apoptosis-related cysteine peptidase // 2q33-q3","CASP8","NM_001228",0.00148877,0.00148877,0.818065,-1.2224,"Control down vs Schizophrenia",13.16,0.5036,0.841885,1,-1.2224,0.00148877
"3211",7912646,"NM_001229 // CASP9 // caspase 9, apoptosis-related cysteine peptidase // 1p36.3-","CASP9","NM_001229",0.000458586,0.000458586,0.755675,-1.32332,"Control down vs Schizophrenia",16.9112,0.98008,1.275,1,-1.32332,0.000458586
"3216",8107005,"NM_001750 // CAST // calpastatin // 5q15 // 831 /// NM_001042441 // CAST // calp","CAST","NM_001750",0.000649949,0.000649949,0.762918,-1.31076,"Control down vs Schizophrenia",15.7556,0.914472,1.27691,1,-1.31076,0.000649949
"3221",7949553,"NM_053054 // CATSPER1 // cation channel, sperm associated 1 // 11q12.1 // 117144","CATSPER1","NM_053054",0.0411551,0.0411551,0.874832,-1.14308,"Control down vs Schizophrenia",4.70506,0.223313,1.04417,1,-1.14308,0.0411551
"3227",8028341,"NM_021185 // CATSPERG // cation channel, sperm-associated, gamma // 19q13.1 // 5","CATSPERG","NM_021185",0.00711477,0.00711477,0.882545,-1.13309,"Control down vs Schizophrenia",8.80422,0.194959,0.487162,1,-1.13309,0.00711477
"3232",8061919,"NM_005093 // CBFA2T2 // core-binding factor, runt domain, alpha subunit 2; trans","CBFA2T2","NM_005093",0.01047,0.01047,1.19629,1.19629,"Control up vs Schizophrenia",7.83187,0.401141,1.12682,1,1.19629,0.01047
"3236",8089261,"NM_170662 // CBLB // Cas-Br-M (murine) ecotropic retroviral transforming sequenc","CBLB","NM_170662",0.0364702,0.0364702,1.15362,1.15362,"Control up vs Schizophrenia",4.9611,0.255034,1.13095,1,1.15362,0.0364702
"3237",8029476,"NM_012116 // CBLC // Cas-Br-M (murine) ecotropic retroviral transforming sequenc","CBLC","NM_012116",0.0248855,0.0248855,0.905946,-1.10382,"Control down vs Schizophrenia",5.79656,0.121842,0.462433,1,-1.10382,0.0248855
"3240",8023822,"NM_182511 // CBLN2 // cerebellin 2 precursor // 18q22.3 // 147381 /// ENST000002","CBLN2","NM_182511",0.0320669,0.0320669,0.765454,-1.30641,"Control down vs Schizophrenia",5.23801,0.892182,3.74722,1,-1.30641,0.0320669
"3242",8067157,"NM_080617 // CBLN4 // cerebellin 4 precursor // 20q13.13-q13.33 // 140689 /// EN","CBLN4","NM_080617",0.0113895,0.0113895,1.18666,1.18666,"Control up vs Schizophrenia",7.62529,0.365785,1.05534,1,1.18666,0.0113895
"3243",8068401,"NM_001757 // CBR1 // carbonyl reductase 1 // 21q22.13 // 873 /// ENST00000290349","CBR1","NM_001757",0.0325402,0.0325402,1.17279,1.17279,"Control up vs Schizophrenia",5.20626,0.317256,1.34062,1,1.17279,0.0325402
"3246",8070632,"NM_001178008 // CBS // cystathionine-beta-synthase // 21q22.3 // 875 /// NM_0000","CBS","NM_001178008",0.000492305,0.000492305,0.875541,-1.14215,"Control down vs Schizophrenia",16.673,0.220616,0.291103,1,-1.14215,0.000492305
"3249",8161587,"NM_201453 // CBWD3 // COBW domain containing 3 // 9q13 // 445571 /// NM_018491 /","CBWD3","NM_201453",0.0310338,0.0310338,0.891824,-1.1213,"Control down vs Schizophrenia",5.30919,0.163687,0.678277,1,-1.1213,0.0310338
"3252",8155422,"BC043420 // CBWD5 // COBW domain containing 5 // 9q21.11 // 220869 /// AK097639 ","CBWD5","BC043420",0.0417089,0.0417089,0.869424,-1.15019,"Control down vs Schizophrenia",4.67698,0.244503,1.15011,1,-1.15019,0.0417089
"3254",8016402,"NM_001127228 // CBX1 // chromobox homolog 1 (HP1 beta homolog Drosophila ) // 17","CBX1","NM_001127228",0.0109075,0.0109075,0.896267,-1.11574,"Control down vs Schizophrenia",7.73119,0.149784,0.426228,1,-1.11574,0.0109075
"3255",8010320,"NM_005189 // CBX2 // chromobox homolog 2 (Pc class homolog, Drosophila) // 17q25","CBX2","NM_005189",0.00389892,0.00389892,0.855692,-1.16864,"Control down vs Schizophrenia",10.3982,0.303307,0.64172,1,-1.16864,0.00389892
"3262",8073022,"NM_001002880 // CBY1 // chibby homolog 1 (Drosophila) // 22q12 // 25776 /// NM_0","CBY1","NM_001002880",0.0351021,0.0351021,1.1056,1.1056,"Control up vs Schizophrenia",5.04292,0.125865,0.549091,1,1.1056,0.0351021
"3263",8026217,"NM_017721 // CC2D1A // coiled-coil and C2 domain containing 1A // 19p13.12 // 54","CC2D1A","NM_017721",0.0425367,0.0425367,0.938114,-1.06597,"Control down vs Schizophrenia",4.63579,0.0509655,0.241866,1,-1.06597,0.0425367
"3264",7916135,"NM_032449 // CC2D1B // coiled-coil and C2 domain containing 1B // 1p32.3 // 2000","CC2D1B","NM_032449",0.0155113,0.0155113,0.933624,-1.07109,"Control down vs Schizophrenia",6.88335,0.0589079,0.188277,1,-1.07109,0.0155113
"3274",8021685,"NM_001093729 // CCDC102B // coiled-coil domain containing 102B // 18q22.1 // 798","CCDC102B","NM_001093729",0.0182739,0.0182739,0.521851,-1.91625,"Control down vs Schizophrenia",6.49985,5.28232,17.879,1,-1.91625,0.0182739
"3282",8096808,"NM_017918 // CCDC109B // coiled-coil domain containing 109B // 4q25 // 55013 ///","CCDC109B","NM_017918",0.00564377,0.00564377,1.34115,1.34115,"Control up vs Schizophrenia",9.40639,1.07596,2.51649,1,1.34115,0.00564377
"3284",8104014,"NM_152775 // CCDC110 // coiled-coil domain containing 110 // 4q35.1 // 256309 //","CCDC110","NM_152775",0.00833142,0.00833142,1.46598,1.46598,"Control up vs Schizophrenia",8.4021,1.82731,4.78461,1,1.46598,0.00833142
"3294",8051197,"NM_024584 // CCDC121 // coiled-coil domain containing 121 // 2p23.3 // 79635 ///","CCDC121","NM_024584",0.0259169,0.0259169,0.857565,-1.16609,"Control down vs Schizophrenia",5.70596,0.294859,1.13686,1,-1.16609,0.0259169
"3315",8013272,"NM_014695 // CCDC144A // coiled-coil domain containing 144A // 17p11.2 // 9720 /","CCDC144A","NM_014695",0.0382296,0.0382296,1.38543,1.38543,"Control up vs Schizophrenia",4.86081,1.32727,6.0072,1,1.38543,0.0382296
"3316",8005204,"NM_014695 // CCDC144A // coiled-coil domain containing 144A // 17p11.2 // 9720 /","CCDC144A","NM_014695",0.0415258,0.0415258,1.3221,1.3221,"Control up vs Schizophrenia",4.68622,0.973624,4.57079,1,1.3221,0.0415258
"3321",8056022,"NM_138803 // CCDC148 // coiled-coil domain containing 148 // 2q24.1 // 130940 //","CCDC148","NM_138803",0.0299965,0.0299965,0.786449,-1.27154,"Control down vs Schizophrenia",5.38339,0.720685,2.94518,1,-1.27154,0.0299965
"3333",7915743,"NM_001114938 // CCDC17 // coiled-coil domain containing 17 // 1p34.1 // 149483 /","CCDC17","NM_001114938",0.00666138,0.00666138,0.88956,-1.12415,"Control down vs Schizophrenia",8.97394,0.171035,0.4193,1,-1.12415,0.00666138
"3336",7899134,"NM_022778 // CCDC21 // coiled-coil domain containing 21 // 1p36.11 // 64793 /// ","CCDC21","NM_022778",0.0238811,0.0238811,0.927251,-1.07846,"Control down vs Schizophrenia",5.88893,0.0712438,0.266154,1,-1.07846,0.0238811
"3340",8149942,"NM_018246 // CCDC25 // coiled-coil domain containing 25 // 8p21.1 // 55246 /// E","CCDC25","NM_018246",0.0374608,0.0374608,0.910857,-1.09787,"Control down vs Schizophrenia",4.90398,0.10887,0.488408,1,-1.09787,0.0374608
"3343",8122327,"NM_015439 // CCDC28A // coiled-coil domain containing 28A // 6q23.1-q24.1 // 259","CCDC28A","NM_015439",0.0141417,0.0141417,0.87019,-1.14917,"Control down vs Schizophrenia",7.10275,0.241436,0.747823,1,-1.14917,0.0141417
"3345",8161384,"ENST00000340460 // CCDC29 // coiled-coil domain containing 29 // 9q21.11 // 7287","CCDC29","ENST00000340460",0.00111184,0.00111184,0.44092,-2.26798,"Control down vs Schizophrenia",14.0505,8.37439,13.1124,1,-2.26798,0.00111184
"3346",7970381,"ENST00000340460 // CCDC29 // coiled-coil domain containing 29 // 9q21.11 // 7287","CCDC29","ENST00000340460",0.0149991,0.0149991,0.531235,-1.8824,"Control down vs Schizophrenia",6.96277,4.99678,15.7881,1,-1.8824,0.0149991
"3347",8069508,"ENST00000333394 // CCDC29 // coiled-coil domain containing 29 // 9q21.11 // 7287","CCDC29","ENST00000333394",0.0462723,0.0462723,0.655846,-1.52475,"Control down vs Schizophrenia",4.46055,2.22214,10.9599,1,-1.52475,0.0462723
"3352",7984819,"NM_025055 // CCDC33 // coiled-coil domain containing 33 // 15q24.1 // 80125 /// ","CCDC33","NM_025055",0.0456282,0.0456282,1.15551,1.15551,"Control up vs Schizophrenia",4.48959,0.260902,1.27848,1,1.15551,0.0456282
"3353",7947189,"NM_030771 // CCDC34 // coiled-coil domain containing 34 // 11p14.1 // 91057 /// ","CCDC34","NM_030771",0.00370185,0.00370185,1.27333,1.27333,"Control up vs Schizophrenia",10.5404,0.729149,1.52189,1,1.27333,0.00370185
"3355",8082270,"NM_182628 // CCDC37 // coiled-coil domain containing 37 // 3q21.3 // 348807 /// ","CCDC37","NM_182628",0.0373514,0.0373514,1.0974,1.0974,"Control up vs Schizophrenia",4.91021,0.107877,0.483338,1,1.0974,0.0373514
"3366",8082465,"NM_024768 // CCDC48 // coiled-coil domain containing 48 // 3q21.3 // 79825 /// E","CCDC48","NM_024768",6.88e-05,6.88e-05,0.658941,-1.51759,"Control down vs Schizophrenia",23.911,2.17283,1.99918,1,-1.51759,6.88e-05
"3368",8086949,"NM_024661 // CCDC51 // coiled-coil domain containing 51 // 3p21.31 // 79714 /// ","CCDC51","NM_024661",0.00223832,0.00223832,0.821346,-1.21751,"Control down vs Schizophrenia",11.9579,0.483723,0.889946,1,-1.21751,0.00223832
"3380",7959484,"NM_201435 // CCDC62 // coiled-coil domain containing 62 // 12q24.31 // 84660 ///","CCDC62","NM_201435",0.029358,0.029358,0.876037,-1.1415,"Control down vs Schizophrenia",5.43051,0.218741,0.88616,1,-1.1415,0.029358
"3397",7903308,"NM_019083 // CCDC76 // coiled-coil domain containing 76 // 1pter-q31.3 // 54482 ","CCDC76","NM_019083",0.0075867,0.0075867,0.874925,-1.14295,"Control down vs Schizophrenia",8.63982,0.222958,0.567729,1,-1.14295,0.0075867
"3403",7942941,"NM_001156474 // CCDC81 // coiled-coil domain containing 81 // 11q14.2 // 60494 /","CCDC81","NM_001156474",0.0285612,0.0285612,0.790937,-1.26432,"Control down vs Schizophrenia",5.49095,0.686949,2.75232,1,-1.26432,0.0285612
